time_hr,solid_pressurizer,bubble_phase,pressure_psia,pzr_level_pct,pzr_mass_lbm,pzr_total_enthalpy_btu,closure_phase_fraction
3.272249,1,NONE,362.396400,100.000000,110527.200000,10120390.000000,0.000000
3.275027,1,NONE,362.802500,100.000000,110527.200000,10120390.000000,0.000000
3.277805,1,NONE,363.209200,100.000000,110527.200000,10120390.000000,0.000000
3.280583,1,NONE,363.597000,100.000000,110527.200000,10120390.000000,0.000000
3.283361,1,NONE,363.948800,100.000000,110527.200000,10120390.000000,0.000000
3.286139,1,NONE,364.497300,100.000000,110527.200000,10120390.000000,0.000000
3.288916,1,NONE,364.982600,100.000000,110527.200000,10120390.000000,0.000000
3.291694,1,NONE,365.590600,100.000000,110527.200000,10120390.000000,0.000000
3.294472,1,NONE,366.123500,100.000000,110527.200000,10120390.000000,0.000000
3.297250,1,NONE,366.714300,100.000000,110527.200000,10120390.000000,0.000000
3.300028,1,NONE,367.233100,100.000000,110527.200000,10120390.000000,0.000000
3.302805,1,NONE,367.765100,100.000000,110527.200000,10120390.000000,0.000000
3.305583,1,NONE,368.232800,100.000000,110527.200000,10120390.000000,0.000000
3.308361,1,NONE,368.612000,100.000000,110527.200000,10120390.000000,0.000000
3.311139,1,NONE,368.878400,100.000000,110527.200000,10120390.000000,0.000000
3.313917,1,NONE,369.046200,100.000000,110527.200000,10120390.000000,0.000000
3.316694,1,NONE,369.104600,100.000000,110527.200000,10120390.000000,0.000000
3.319472,1,NONE,369.066800,100.000000,110527.200000,10120390.000000,0.000000
3.322250,1,NONE,368.930400,100.000000,110527.200000,10120390.000000,0.000000
3.325028,1,NONE,368.707300,100.000000,110527.200000,10120390.000000,0.000000
3.327806,1,NONE,368.414200,100.000000,110527.200000,10120390.000000,0.000000
3.330584,1,NONE,368.072000,100.000000,110527.200000,10120390.000000,0.000000
3.333361,1,NONE,367.699000,100.000000,110527.200000,10120390.000000,0.000000
3.336139,1,NONE,367.315600,100.000000,110527.200000,10120390.000000,0.000000
3.338917,1,NONE,366.939600,100.000000,110527.200000,10120390.000000,0.000000
3.341695,1,NONE,366.589400,100.000000,110527.200000,10120390.000000,0.000000
3.344473,1,NONE,366.005500,100.000000,110527.200000,10120390.000000,0.000000
3.347250,1,NONE,365.476200,100.000000,110527.200000,10120390.000000,0.000000
3.350028,1,NONE,365.010900,100.000000,110527.200000,10120390.000000,0.000000
3.352806,1,NONE,364.414800,100.000000,110527.200000,10120390.000000,0.000000
3.355584,1,NONE,363.890300,100.000000,110527.200000,10120390.000000,0.000000
3.358362,1,NONE,363.291900,100.000000,110527.200000,10120390.000000,0.000000
3.361140,1,NONE,362.759100,100.000000,110527.200000,10120390.000000,0.000000
3.363917,1,NONE,362.260400,100.000000,110527.200000,10120390.000000,0.000000
3.366695,1,NONE,361.825000,100.000000,110527.200000,10120390.000000,0.000000
3.369473,1,NONE,361.475500,100.000000,110527.200000,10120390.000000,0.000000
3.372251,1,NONE,361.237100,100.000000,110527.200000,10120390.000000,0.000000
3.375029,1,NONE,361.096500,100.000000,110527.200000,10120390.000000,0.000000
3.377806,1,NONE,361.067400,100.000000,110527.200000,10120390.000000,0.000000
3.380584,1,NONE,361.137700,100.000000,110527.200000,10120390.000000,0.000000
3.383362,1,NONE,361.301000,100.000000,110527.200000,10120390.000000,0.000000
3.386140,1,NONE,361.545500,100.000000,110527.200000,10120390.000000,0.000000
3.388918,1,NONE,361.855300,100.000000,110527.200000,10120390.000000,0.000000
3.391695,1,NONE,362.209700,100.000000,110527.200000,10120390.000000,0.000000
3.394473,1,NONE,362.590400,100.000000,110527.200000,10120390.000000,0.000000
3.397251,1,NONE,362.976800,100.000000,110527.200000,10120390.000000,0.000000
3.400029,1,NONE,363.350600,100.000000,110527.200000,10120390.000000,0.000000
3.402807,1,NONE,363.694400,100.000000,110527.200000,10120390.000000,0.000000
3.405585,1,NONE,364.249800,100.000000,110527.200000,10120390.000000,0.000000
3.408362,1,NONE,364.748000,100.000000,110527.200000,10120390.000000,0.000000
3.411140,1,NONE,365.387900,100.000000,110527.200000,10120390.000000,0.000000
3.413918,1,NONE,365.957600,100.000000,110527.200000,10120390.000000,0.000000
3.416696,1,NONE,366.606100,100.000000,110527.200000,10120390.000000,0.000000
3.419474,1,NONE,367.185300,100.000000,110527.200000,10120390.000000,0.000000
3.422251,1,NONE,367.701100,100.000000,110527.200000,10120390.000000,0.000000
3.425029,1,NONE,368.170000,100.000000,110527.200000,10120390.000000,0.000000
3.427807,1,NONE,368.565400,100.000000,110527.200000,10120390.000000,0.000000
3.430585,1,NONE,368.842500,100.000000,110527.200000,10120390.000000,0.000000
3.433363,1,NONE,369.014300,100.000000,110527.200000,10120390.000000,0.000000
3.436141,1,NONE,369.066100,100.000000,110527.200000,10120390.000000,0.000000
3.438918,1,NONE,369.010900,100.000000,110527.200000,10120390.000000,0.000000
3.441696,1,NONE,368.860200,100.000000,110527.200000,10120390.000000,0.000000
