attempt_index,time_hr,converged,volume_residual_ft3,energy_residual_btu,failure_reason,pattern,iterations,phase_fraction,bubble_phase
213,8.422010,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
214,8.424788,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
215,8.427567,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
216,8.430345,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
217,8.433123,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
218,8.435901,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
219,8.438679,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
220,8.441457,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
221,8.444235,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
222,8.447013,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
223,8.449791,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
224,8.452569,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
225,8.455347,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
226,8.458125,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
227,8.460903,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
228,8.463681,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
229,8.466459,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
230,8.469237,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
231,8.472015,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
232,8.474793,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
233,8.477571,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
234,8.480350,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
235,8.483128,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
236,8.485906,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
237,8.488684,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
238,8.491462,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
